GEOID,crime,rank,NAME,rank_assault,rank_burg,rank_rob,rank_theft,rank_vehicle_theft
6075035202,2786,115,"Census Tract 352.02, San Francisco County, California",95,159,128.5,132,149
6075042700,2779,116,"Census Tract 427, San Francisco County, California",104,98,151,128,153
6075030400,2759,117,"Census Tract 304, San Francisco County, California",128.5,79.5,132,109,159
6075021500,2664,118,"Census Tract 215, San Francisco County, California",150,57,130,100,26
6075021800,2644,119,"Census Tract 218, San Francisco County, California",173,63.5,134.5,95,53
6075026403,2619,120,"Census Tract 264.03, San Francisco County, California",74,168,76,160,109
6075026302,2614,121,"Census Tract 263.02, San Francisco County, California",83,185,80,159,90
6075025900,2593,122,"Census Tract 259, San Francisco County, California",94,135,106.5,162,54.5
6075035300,2584,123,"Census Tract 353, San Francisco County, California",120,124,157.5,136,142
6075017000,2560,124,"Census Tract 170, San Francisco County, California",167.5,52,165,97,75
6075013200,2549,125,"Census Tract 132, San Francisco County, California",187,47,141.5,87,82
6075026004,2538,126,"Census Tract 260.04, San Francisco County, California",111,178,88,185,67.5
6075012602,2537,127,"Census Tract 126.02, San Francisco County, California",169.5,90.5,157.5,78,152
6075011300,2523,128,"Census Tract 113, San Francisco County, California",130,176,95,93,186
6075033203,2513,129,"Census Tract 332.03, San Francisco County, California",99,77,138,141,172.5
6075013300,2502,130,"Census Tract 133, San Francisco County, California",162,71,174,104,138
6075045100,2485,131,"Census Tract 451, San Francisco County, California",139,121.5,151,148,102.5
6075035100,2478,132,"Census Tract 351, San Francisco County, California",118,123,155,135,118
6075020402,2438,133,"Census Tract 204.02, San Francisco County, California",160,105.5,165,90,80
6075033204,2407,134,"Census Tract 332.04, San Francisco County, California",108.5,49,136.5,139,161
6075035400,2397,135,"Census Tract 354, San Francisco County, California",133,149.5,160,155,112
6075011200,2367,136.5,"Census Tract 112, San Francisco County, California",142,90.5,132,106,107
6075047701,2367,136.5,"Census Tract 477.01, San Francisco County, California",144,145,144,122,147
6075022702,2344,138,"Census Tract 227.02, San Francisco County, California",181,100.5,141.5,77,113.5
6075060400,2334,139,"Census Tract 604, San Francisco County, California",165.5,189,193,72,176
6075030101,2330,140,"Census Tract 301.01, San Francisco County, California",152,75.5,171.5,133,132.5
6075015600,2325,141,"Census Tract 156, San Francisco County, California",165.5,127,151,99,165
6075030102,2290,142.5,"Census Tract 301.02, San Francisco County, California",137,117.5,187,114,119
6075030700,2290,142.5,"Census Tract 307, San Francisco County, California",163,84,184,123,102.5
6075026401,2279,144,"Census Tract 264.01, San Francisco County, California",85,170,86,177,135
6075047801,2266,145,"Census Tract 478.01, San Francisco County, California",131,164,162.5,163,175
6075011902,2265,146,"Census Tract 119.02, San Francisco County, California",148,140,145.5,107,164
6075015300,2245,147,"Census Tract 153, San Francisco County, California",175.5,136.5,123,86,124
6075026003,2234,148,"Census Tract 260.03, San Francisco County, California",92.5,186,134.5,188,65
6075032700,2230,149,"Census Tract 327, San Francisco County, California",145.5,111.5,147.5,129,121.5
6075030301,2191,150,"Census Tract 303.01, San Francisco County, California",151,100.5,176.5,121,99
6075033100,2184,151,"Census Tract 331, San Francisco County, California",173,161,154,115,185
6075021100,2157,152,"Census Tract 211, San Francisco County, California",167.5,93,126.5,118,86.5
6075013101,2116,153,"Census Tract 131.01, San Francisco County, California",175.5,55,136.5,103,161
6075013400,2068,154,"Census Tract 134, San Francisco County, California",182.5,85.5,141.5,108,123
6075022902,2057,155,"Census Tract 229.02, San Francisco County, California",105,190,109.5,182,136.5
6075021400,2039,156,"Census Tract 214, San Francisco County, California",145.5,113.5,151,145.5,96
6075031301,2036,157,"Census Tract 313.01, San Francisco County, California",102.5,155,125,175,157.5
6075025402,2035,158,"Census Tract 254.02, San Francisco County, California",119,181,126.5,168.5,80
6075030201,1992,159,"Census Tract 302.01, San Francisco County, California",161,136.5,151,117,163
6075010800,1989,160,"Census Tract 108, San Francisco County, California",164,128.5,121,143,77
6075017902,1984,161,"Census Tract 179.02, San Francisco County, California",127,130,174,138,177
6075026002,1977,162,"Census Tract 260.02, San Francisco County, California",124.5,175,117,187,58
6075021600,1956,163.5,"Census Tract 216, San Francisco County, California",156,117.5,182.5,140,105
6075026402,1956,163.5,"Census Tract 264.02, San Francisco County, California",128.5,162,103,179,83.5
6075035201,1939,165,"Census Tract 352.01, San Francisco County, California",134,163,169.5,165,139.5
6075013102,1908,166,"Census Tract 131.02, San Francisco County, California",189,94,176.5,102,143
